Product Name,Price,Rating,Reviews,Product URL,Image URL,Brand
Samsung Galaxy A26 Dual SIM 5G 256GB/8GB Mobile Phone – Pink,"EGP 13,999.00",,3 out of 5(2),https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-pink-131618226.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/2816131/1.jpg?5011,Samsung
XIAOMI Redmi A3x - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Midnight Black,"EGP 4,650.00",,3.7 out of 5(12),https://www.jumia.com.eg/xiaomi-redmi-a3x-6.7-inch-128gb4gb-dual-sim-4g-mobile-phone-midnight-black-131438010.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/0834131/1.jpg?2161,XIAOMI
XIAOMI Redmi Note 14 - Dual SIM 4G 256GB/8GB Mobile Phone - Midnight Black,"EGP 9,679.00",,5 out of 5(2),https://www.jumia.com.eg/xiaomi-redmi-note-14-dual-sim-4g-256gb8gb-mobile-phone-midnight-black-130836296.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/2638031/1.jpg?8344,XIAOMI
Nokia 3 - 5.0-inch 16GB/2GB Dual SIM 4G Mobile Phone - Silver White - Silver White,"EGP 3,599.00",,4 out of 5(2),https://www.jumia.com.eg/nokia-3-5.0-inch-16gb2gb-dual-sim-4g-mobile-phone-silver-white-silver-white-24057210.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/275042/1.jpg?7623,Nokia
Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Light Blue,"EGP 5,799.00",,4 out of 5(45),https://www.jumia.com.eg/a06-6.7-inch-128gb6gb-dual-sim-4g-mobile-phone-light-blue-samsung-mpg3818093.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/5040031/1.jpg?0382,Samsung
XIAOMI Redmi Note 14 Pro - 6.6 Inch 512GB/12GB Dual SIM 4G Mobile Phone - Midnight Black,"EGP 16,994.00",,4 out of 5(4),https://www.jumia.com.eg/xiaomi-redmi-note-14-pro-6.6-inch-512gb12gb-dual-sim-4g-mobile-phone-midnight-black-130936439.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/4639031/1.jpg?9543,XIAOMI
Infinix Hot 50i - 6.7 Inch - Dual SIM Mobile Phone 4G 256GB/8GB+8GB - Sage Green,"EGP 5,700.00",,5 out of 5(3),https://www.jumia.com.eg/infinix-hot-50i-6.7-inch-dual-sim-mobile-phone-4g-256gb8gb8gb-sage-green-130966933.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/9669031/1.jpg?2534,Infinix
"realme Note 50 - 6.7"" 64GB/3GB Dual SIM 4G Mobile Phone - Sky Blue","EGP 4,799.00",,4.7 out of 5(3),https://www.jumia.com.eg/realme-note-50-6.7-64gb3gb-dual-sim-4g-mobile-phone-sky-blue-130934627.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/6439031/1.jpg?1724,realme
OPPO A3x Dual SIM 4G 64GB/4GB Mobile Phone - Nebula Red,"EGP 5,800.00",,2 out of 5(2),https://www.jumia.com.eg/oppo-a3x-dual-sim-4g-64gb4gb-mobile-phone-nebula-red-132999186.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/1999231/1.jpg?9205,OPPO
"Honor X6c Dual SIM 4G Smartphone – 128GB Storage, 6GB RAM – Midnight Black","EGP 5,699.00",,5 out of 5(3),https://www.jumia.com.eg/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-midnight-black-133130993.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/9031331/2.jpg?8133,Honor
